"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"695","RT @IBMBigData: [Infographic] Delivering more #analytics from more #data sources: https://t.co/kzA3RFp88f https://t.co/PKonU9rpMT",FALSE,0,NA,2017-01-18 16:06:43,FALSE,NA,"821750676963414023",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","IBM_Hellas",12,TRUE,FALSE,NA,NA
"696","SF Bay Area #BI #Analytics Execs! Join @BirstBI &amp; @italentcorp for an exclusive product launch event on 2/15. RSVP:… https://t.co/nkBnnFSNVU",FALSE,0,NA,2017-01-18 16:06:30,TRUE,NA,"821750623108415488",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BirstBI",0,FALSE,FALSE,NA,NA
"697","RT @Technori: Former @POTUS campaign #DataChief &amp; @CivisAnalytics founder Dan Wagner joined @kitun to talk #analytics @1871Chicago https://…",FALSE,0,NA,2017-01-18 16:06:22,FALSE,NA,"821750587343642624",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","bilo__purgo",8,TRUE,FALSE,NA,NA
"698","LIVE WEBINAR 1/26: Learn how to improve #softwareQuality, through intelligent #analytics that focus on #codechanges… https://t.co/XUbq3WalC9",FALSE,0,NA,2017-01-18 16:06:05,TRUE,NA,"821750516636090369",NA,"<a href=""http://gaggleamp.com/twit/"" rel=""nofollow"">GaggleAMP</a>","NeilAngos",0,FALSE,FALSE,NA,NA
"699","#Analytics and #Data Will Change Social Media in 2017 https://t.co/lRw4v20E0i https://t.co/y0vddTGRCh",FALSE,1,NA,2017-01-18 16:05:27,FALSE,NA,"821750358947074049",NA,"<a href=""http://app.nuvi.com/publishing"" rel=""nofollow"">Social Media Application</a>","DanHaslam",0,FALSE,FALSE,NA,NA
"700","RT @MariaWinans: Why predictive #analytics will steal the show at NRF's 2017 Big Show. #data #WatsonCE #THINKmarketing #NRF17 https://t.co/…",FALSE,0,NA,2017-01-18 16:05:25,FALSE,NA,"821750349178355713",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","caleb_skater35",9,TRUE,FALSE,NA,NA
"701","RT @dr_morton: This #BASE jump video sums up my #FactBeatFear research. It also explains my Brain #BigData #Analytics PASSION..;-) https://…",FALSE,0,NA,2017-01-18 16:05:21,FALSE,NA,"821750331511975936",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","MarloCatalano",3,TRUE,FALSE,NA,NA
"702","RT @KirkDBorne: The Ultimate Growth Hacker Checklist [#Infographic HT @ipfconline1]
#GrowthHacking #Analytics #ContentMarketing #BI #automa…",FALSE,0,NA,2017-01-18 16:05:12,FALSE,NA,"821750294367322114",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamescartertech",25,TRUE,FALSE,NA,NA
"703","RT @JohnSnowLabs: Exploring the Intersecton of #MachineLearning &amp; #Analytics #BigData - https://t.co/aFN3NGEpTr #Datascience #dataops",FALSE,0,NA,2017-01-18 16:05:02,FALSE,NA,"821750254370430976",NA,"<a href=""http://www.kyply.it"" rel=""nofollow"">kyply_bot</a>","InstantMediaAna",5,TRUE,FALSE,NA,NA
"704","RT @ChristineBevan: How SAS helps #customerloyalty blossom at @1800flowers #omnichannel #analytics https://t.co/FY3JACTXJH",FALSE,0,NA,2017-01-18 16:04:50,FALSE,NA,"821750203116032001",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","kingofpayments",1,TRUE,FALSE,NA,NA
